0		0.5 		12.3		1          
0.0376577	0.385489        11.9482         0.966476 
0.0378478	0.382107        11.9467         0.966297 
0.038038	0.378731        11.9452         0.966117 
0.0382282	0.375362        11.9438         0.965934 
0.0384184	0.372001        11.9424         0.965751 
0.0386086	0.368648        11.941          0.965565 
0.0387988	0.365304        11.9397         0.965378 
0.038989	0.36197         11.9384         0.96519 
0.0391792	0.358647        11.9372         0.964999 
0.0393694	0.355334        11.936          0.964807 
0.0395596	0.352034        11.9348         0.964614 
0.0397497	0.348745        11.9336         0.964418 
0.0399399	0.34547         11.9325         0.964221 
0.0401301	0.342208        11.9314         0.964023 
0.0403203	0.338961        11.9304         0.963822 
0.0405105	0.335728        11.9294         0.96362 
0.0407007	0.332511        11.9284         0.963417 
0.0408909	0.329309        11.9274         0.963211 
0.0410811	0.326125        11.9265         0.963004 
0.0412713	0.322957        11.9256         0.962795 
0.0414615	0.319807        11.9247         0.962584 
0.0416517	0.316675        11.9238         0.962371 
0.0418418	0.313562        11.923          0.962157 
0.042032	0.310468        11.9222         0.961941 
0.0422222	0.307393        11.9214         0.961723 
0.0424124	0.304339        11.9206         0.961503 
0.0426026	0.301305        11.9199         0.961282 
0.0427928	0.298292        11.9192         0.961059 
0.042983	0.2953          11.9185         0.960834 
0.0431732	0.29233         11.9178         0.960607 
0.0433634	0.289382        11.9171         0.960378 
0.0435536	0.286457        11.9165         0.960147 
0.0437437	0.283555        11.9158         0.959915 
0.0439339	0.280676        11.9152         0.959681 
0.0441241	0.277821        11.9146         0.959445 
0.0443143	0.274989        11.914          0.959207 
0.0445045	0.272182        11.9134         0.958967 
0.0446947	0.2694          11.9129         0.958726 
0.0448849	0.266642        11.9123         0.958482 
0.0450751	0.263909        11.9118         0.958237 
0.0452653	0.261202        11.9112         0.95799 
0.0454555	0.25852         11.9107         0.95774 
0.0456456	0.255864        11.9102         0.95749 
0.0458358	0.253234        11.9097         0.957237 
0.046026	0.25063         11.9092         0.956982 
0.0462162	0.248053        11.9087         0.956725 
0.0464064	0.245502        11.9082         0.956467 
0.0465966	0.242978        11.9077         0.956207 
0.0467868	0.240481        11.9072         0.955944 
0.046977	0.238011        11.9067         0.95568 
0.0471672	0.235568        11.9062         0.955414 
0.0473574	0.233152        11.9057         0.955146 
0.0475475	0.230764        11.9052         0.954876 
0.0477377	0.228403        11.9047         0.954605 
0.0479279	0.22607         11.9042         0.954331 
0.0481181	0.223764        11.9037         0.954056 
0.0483083	0.221486        11.9032         0.953778 
